bps_model_id,class,max_height_ft,max_diameter_in
10860_13_16_17_18_21_23,C,NA,NA
10860_13_16_17_18_21_23,D,NA,NA
10860_25,A,NA,NA
10860_25,B,NA,NA
10860_25,C,NA,NA
10860_25,D,NA,NA
10860_25,E,NA,NA
10860_26,A,NA,NA
10860_26,B,NA,NA
10860_27_31_33,A,NA,NA
10860_27_31_33,B,NA,NA
10860_27_31_33,C,NA,NA
10860_28,A,NA,NA
10860_28,B,NA,NA
10860_28,C,NA,NA
10860_28,D,NA,NA
10860_28,E,NA,NA
10860_29,A,NA,NA
10860_29,B,NA,NA
10860_29,C,NA,NA
10861_22,A,NA,NA
10861_22,B,NA,NA
10861_22,C,NA,NA
10862_22,A,NA,NA
10862_22,B,NA,NA
10862_22,C,NA,NA
10870_4_6_12_13_14_15_17_24_25,A,NA,NA
10870_4_6_12_13_14_15_17_24_25,B,NA,NA
10880_12_13_14_25,A,NA,NA
10880_12_13_14_25,B,NA,NA
10880_4_5,A,NA,NA
10880_4_5,B,NA,NA
10900_14,A,NA,NA
10900_14,B,NA,NA
10910_13_14,A,NA,NA
10910_13_14,B,NA,NA
10910_13_14,C,NA,NA
10910_15,A,NA,NA
10910_15,B,NA,NA
10910_25,A,NA,NA
10910_25,B,NA,NA
10920_4,A,NA,NA
10920_4,B,NA,NA
10920_4,C,NA,NA
10930_13_15_16_23_24_28,A,NA,NA
10930_13_15_16_23_24_28,B,NA,NA
10930_13_15_16_23_24_28,C,NA,NA
10940_25,A,NA,NA
10940_25,B,NA,NA
10940_26,A,NA,NA
10940_26,B,NA,NA
10940_27_33,A,NA,NA
10940_27_33,B,NA,NA
10940_27_33,C,NA,NA
10940_31_38,A,NA,NA
10940_31_38,B,NA,NA
10940_31_38,C,NA,NA
10940_32_35,A,NA,NA
10940_32_35,B,NA,NA
10940_34,A,NA,NA
10940_34,B,NA,NA
10950_14,A,NA,NA
10950_14,B,NA,NA
10950_14,C,NA,NA
10950_14,D,NA,NA
10950_15,A,NA,NA
10950_15,B,NA,NA
10950_15,C,NA,NA
10950_15,D,NA,NA
10950_25,A,NA,NA
10950_25,B,NA,NA
10950_25,C,NA,NA
10950_25,D,NA,NA
10950_26_35,A,NA,NA
10950_26_35,B,NA,NA
10950_26_35,C,NA,NA
10950_26_35,D,NA,NA
10950_27,A,NA,NA
10950_27,B,NA,NA
10950_27,C,NA,NA
10950_27,D,NA,NA
10960_3,A,NA,NA
10960_3,B,NA,NA
10960_3,C,NA,9
10960_3,D,NA,21
10960_4,A,NA,NA
10960_4,B,NA,NA
10960_4,C,NA,21
10970_3_6_7,NA,NA,NA
10970_4_5,NA,NA,NA
10980_3,A,NA,9
