BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
13110_42_43,All Fires,9,100,,
13110_44,Replacement,105,13,,
13110_44,Moderate (Mixed),98,14,,
13110_44,Low (Surface),19,73,,
13110_44,All Fires,14,100,,
13110_49,Replacement,144,6,,
13110_49,Moderate (Mixed),145,6,,
13110_49,Low (Surface),10,88,,
13110_49,All Fires,9,100,,
13110_50,Replacement,102,13,,
13110_50,Moderate (Mixed),96,14,,
13110_50,Low (Surface),19,73,2,25
13110_50,All Fires,14,100,,
13110_51,Replacement,136,7,,
13110_51,Moderate (Mixed),111,8,,
13110_51,Low (Surface),11,85,,
13110_51,All Fires,9,100,,
13110_52,Replacement,149,6,,
13110_52,Moderate (Mixed),152,6,,
13110_52,Low (Surface),11,88,,
13110_52,All Fires,9,100,,
13120_44,Replacement,38,13,10,100
13120_44,Moderate (Mixed),89,6,,
13120_44,Low (Surface),6,81,2,7
13120_44,All Fires,5,100,,
13130_47_50_51,Replacement,987,45,,
13130_47_50_51,Moderate (Mixed),,,,
13130_47_50_51,Low (Surface),823,55,,
13130_47_50_51,All Fires,449,100,,
13130_49_52_62,Replacement,1011,45,,
13130_49_52_62,Moderate (Mixed),,,,
13130_49_52_62,Low (Surface),840,55,,
13130_49_52_62,All Fires,459,100,,
13140_38_39_40_41_42_43_44_50,Replacement,1038,46,,
13140_38_39_40_41_42_43_44_50,Moderate (Mixed),,,,
13140_38_39_40_41_42_43_44_50,Low (Surface),866,54,,
13140_38_39_40_41_42_43_44_50,All Fires,472,100,,
13140_49,Replacement,1042,45,,
13140_49,Moderate (Mixed),,,,
13140_49,Low (Surface),854,55,,
13140_49,All Fires,469,100,,
13150_48_53_57_59_61,Replacement,603,2,500,1000
13150_48_53_57_59_61,Moderate (Mixed),138,10,200,500
13150_48_53_57_59_61,Low (Surface),16,88,7,26
13150_48_53_57_59_61,All Fires,14,100,,
13160_54_57_59_61,Replacement,509,8,,
13160_54_57_59_61,Moderate (Mixed),347,12,,
13160_54_57_59_61,Low (Surface),52,80,20,70
13160_54_57_59_61,All Fires,42,100,,
13160_60,Replacement,499,8,,
13160_60,Moderate (Mixed),355,12,,
13160_60,Low (Surface),52,80,20,70
13160_60,All Fires,41,100,,
13170_48_53,Replacement,91,6,1,25
13170_48_53,Moderate (Mixed),1207,,5,50
13170_48_53,Low (Surface),6,94,2,25
13170_48_53,All Fires,6,100,,
13170_57_61,Replacement,125,9,,
13170_57_61,Moderate (Mixed),61,18,,
13170_57_61,Low (Surface),15,73,2,25
13170_57_61,All Fires,11,100,,
13170_62,Replacement,37,21,,
13170_62,Moderate (Mixed),116,7,,
13170_62,Low (Surface),10,72,2,25
13170_62,All Fires,8,100,,
13180_48_53,Replacement,554,12,,
13180_48_53,Moderate (Mixed),726,9,,
13180_48_53,Low (Surface),88,79,,
13180_48_53,All Fires,69,100,,
13180_57_59_61,Replacement,994,8,,
13180_57_59_61,Moderate (Mixed),498,15,,
13180_57_59_61,Low (Surface),100,77,,
13180_57_59_61,All Fires,77,100,,
13200_48_57_61,Replacement,147,14,,
13200_48_57_61,Moderate (Mixed),95,22,,
13200_48_57_61,Low (Surface),33,64,,
13200_48_57_61,All Fires,21,100,,
13210_47_48_53_57,Replacement,867,8,,
13210_47_48_53_57,Moderate (Mixed),532,13,,
13210_47_48_53_57,Low (Surface),86,79,,
13210_47_48_53_57,All Fires,68,100,,
13210_49,Replacement,715,32,,
13210_49,Moderate (Mixed),816,28,,
13210_49,Low (Surface),554,40,,
13210_49,All Fires,226,100,,
13210_61_63,Replacement,844,9,,
13210_61_63,Moderate (Mixed),572,14,,
13210_61_63,Low (Surface),101,77,,
13210_61_63,All Fires,78,100,,
13210_62,Replacement,944,20,,
13210_62,Moderate (Mixed),786,24,,
13210_62,Low (Surface),336,56,,
13210_62,All Fires,188,100,,
13220_45,Replacement,487,9,,
13220_45,Moderate (Mixed),108,41,,
13220_45,Low (Surface),88,50,,
13220_45,All Fires,44,100,,
13230_32_36_37_44_45_98,Replacement,268,6,,
13230_32_36_37_44_45_98,Moderate (Mixed),89,19,,
13230_32_36_37_44_45_98,Low (Surface),23,75,,
13230_32_36_37_44_45_98,All Fires,17,100,,
13240_60_65_66,Replacement,47,7,100,300
13240_60_65_66,Moderate (Mixed),44,8,20,60
13240_60_65_66,Low (Surface),4,85,1,7
13240_60_65_66,All Fires,4,100,,
13250_46_47_48,Replacement,401,9,,
13250_46_47_48,Moderate (Mixed),158,22,,
13250_46_47_48,Low (Surface),51,69,,
13250_46_47_48,All Fires,35,100,,
13260_47,Replacement,185,3,,
13260_47,Moderate (Mixed),180,3,,
13260_47,Low (Surface),5,94,,
13260_47,All Fires,5,100,,
13260_49,Replacement,128,8,,
13260_49,Moderate (Mixed),33,31,,
13260_49,Low (Surface),16,61,,
13260_49,All Fires,10,100,,
13270_45_46_47,Replacement,392,21,150,2000
13270_45_46_47,Moderate (Mixed),354,24,200,1300
13270_45_46_47,Low (Surface),151,55,100,350
13270_45_46_47,All Fires,83,100,,
13280_46_99,Replacement,201,3,,
13280_46_99,Moderate (Mixed),100,7,,
13280_46_99,Low (Surface),8,90,,
13280_46_99,All Fires,7,100,,
13290_45_46_99,Replacement,218,19,100,1250
13290_45_46_99,Moderate (Mixed),189,22,90,650
13290_45_46_99,Low (Surface),69,59,40,145
13290_45_46_99,All Fires,41,100,,
13300_46_48_54_55_56_99,Replacement,193,4,,
13300_46_48_54_55_56_99,Moderate (Mixed),96,7,,
13300_46_48_54_55_56_99,Low (Surface),8,89,,
13300_46_48_54_55_56_99,All Fires,7,100,,
13310_39_40_41,Replacement,16,35,,
13310_39_40_41,Moderate (Mixed),,,,
13310_39_40_41,Low (Surface),8,65,,
13310_39_40_41,All Fires,6,100,,
13330_56,Replacement,176,69,,
13330_56,Moderate (Mixed),392,31,,
13330_56,Low (Surface),,,,
13330_56,All Fires,122,100,,
13340_32_43_44,Replacement,316,6,50,300
13340_32_43_44,Moderate (Mixed),109,18,20,150
13340_32_43_44,Low (Surface),25,76,5,35
13340_32_43_44,All Fires,19,100,,
13350_55_58_60,Replacement,NA,NA,,
13350_55_58_60,Moderate (Mixed),NA,NA,,
13350_55_58_60,Low (Surface),NA,NA,,
13350_55_58_60,All Fires,NA,NA,,
13360_56,Replacement,,,,
13360_56,Moderate (Mixed),455,2,100,500
13360_56,Low (Surface),10,98,10,50
13360_56,All Fires,10,100,,
13370_56,Replacement,,,,
13370_56,Moderate (Mixed),242,6,100,500
13370_56,Low (Surface),15,94,10,50
13370_56,All Fires,15,100,,
13380_36,Replacement,442,18,,
13380_36,Moderate (Mixed),100,82,,
13380_36,Low (Surface),,,,
13380_36,All Fires,82,100,,
13390_36_37_98,Replacement,87,21,,
13390_36_37_98,Moderate (Mixed),,,,
13390_36_37_98,Low (Surface),23,79,,
13390_36_37_98,All Fires,18,100,,
13400_61,Replacement,,,,
13400_61,Moderate (Mixed),1022,100,,
13400_61,Low (Surface),,,,
13400_61,All Fires,1022,100,,
13420_59,Replacement,307,2,,
13420_59,Moderate (Mixed),331,1,,
13420_59,Low (Surface),5,97,,
13420_59,All Fires,5,100,,
13430_54_55,Replacement,392,9,,
13430_54_55,Moderate (Mixed),159,22,,
13430_54_55,Low (Surface),52,69,,
13430_54_55,All Fires,35,100,,
13430_58_60,Replacement,473,7,,
13430_58_60,Moderate (Mixed),377,9,,
13430_58_60,Low (Surface),42,84,,
13430_58_60,All Fires,35,100,,
13440_41,Replacement,83,100,,
13440_41,Moderate (Mixed),,,,
13440_41,Low (Surface),,,,
13440_41,All Fires,83,100,,
13440_66,Replacement,213,100,50,200
13440_66,Moderate (Mixed),,,,
13440_66,Low (Surface),,,,
13440_66,All Fires,213,100,,
13441_51,Replacement,34,15,10,80
13441_51,Moderate (Mixed),64,8,10,80
13441_51,Low (Surface),7,77,1,40
13441_51,All Fires,5,100,,
13442_51,Replacement,110,100,50,200
13442_51,Moderate (Mixed),,,,
13442_51,Low (Surface),,,,
13442_51,All Fires,110,100,,
13460_54_55_58,Replacement,134,3,,
13460_54_55_58,Moderate (Mixed),372,1,,
13460_54_55_58,Low (Surface),4,96,,
13460_54_55_58,All Fires,4,100,,
13470_55_58_60,Replacement,130,3,,
13470_55_58_60,Moderate (Mixed),374,1,,
13470_55_58_60,Low (Surface),4,96,,
13470_55_58_60,All Fires,4,100,,
13480_37_45_98,Replacement,631,1,,
13480_37_45_98,Moderate (Mixed),784,,,
13480_37_45_98,Low (Surface),4,99,1,5
13480_37_45_98,All Fires,4,100,,
13490_46_48_54_55_99,Replacement,NA,NA,40,200
13490_46_48_54_55_99,Moderate (Mixed),NA,NA,,
13490_46_48_54_55_99,Low (Surface),NA,NA,1,6
13490_46_48_54_55_99,All Fires,NA,NA,,
13500_57,Replacement,997,54,,
13500_57,Moderate (Mixed),1149,46,,
13500_57,Low (Surface),,,,
13500_57,All Fires,534,100,,
13500_61,Replacement,824,93,,
13500_61,Moderate (Mixed),11710,7,,
13500_61,Low (Surface),,,,
13500_61,All Fires,770,100,,
13510_48_54_59,Replacement,548,1,500,1000
13510_48_54_59,Moderate (Mixed),297,1,,
13510_48_54_59,Low (Surface),3,98,1,5
13510_48_54_59,All Fires,3,100,,
13520_53_54_57_59_60_61,Replacement,86,6,,
13520_53_54_57_59_60_61,Moderate (Mixed),99,5,,
13520_53_54_57_59_60_61,Low (Surface),5,89,,
13520_53_54_57_59_60_61,All Fires,5,100,,
13530_46_48_53_54_57_59_60_61,Replacement,154,5,25,125
13530_46_48_53_54_57_59_60_61,Moderate (Mixed),67,11,,
13530_46_48_53_54_57_59_60_61,Low (Surface),9,84,5,15
13530_46_48_53_54_57_59_60_61,All Fires,8,100,,
13530_47,Replacement,101,2,,
13530_47,Moderate (Mixed),1201,,,
13530_47,Low (Surface),2,98,,
13530_47,All Fires,2,100,,
13540_64_66,Replacement,77,10,,
13540_64_66,Moderate (Mixed),31,24,,
13540_64_66,Low (Surface),12,66,,
13540_64_66,All Fires,8,100,,
13550_60_65,Replacement,77,10,,
13550_60_65,Moderate (Mixed),31,25,,
13550_60_65,Low (Surface),12,65,,
13550_60_65,All Fires,8,100,,
13560_55_56_99,Replacement,187,1,150,250
13560_55_56_99,Moderate (Mixed),14045,,,
13560_55_56_99,Low (Surface),3,99,1,10
13560_55_56_99,All Fires,2,100,,
13570_46_47_55_58_99,Replacement,404,9,,
13570_46_47_55_58_99,Moderate (Mixed),159,22,,
13570_46_47_55_58_99,Low (Surface),52,69,,
13570_46_47_55_58_99,All Fires,36,100,,
13580_35_36,Replacement,NA,NA,,
13580_35_36,Moderate (Mixed),NA,NA,,
13580_35_36,Low (Surface),NA,NA,,
13580_35_36,All Fires,NA,NA,,
13600_56,Replacement,426,1,,
13600_56,Moderate (Mixed),185,2,,
13600_56,Low (Surface),4,97,1,5
13600_56,All Fires,3,100,,
13610_58_60,Replacement,355,14,192,2000
13610_58_60,Moderate (Mixed),118,42,67,181
13610_58_60,Low (Surface),112,44,85,286
13610_58_60,All Fires,50,100,,
13620_41_50,Replacement,349,3,,
13620_41_50,Moderate (Mixed),669,2,,
13620_41_50,Low (Surface),11,95,,
13620_41_50,All Fires,11,100,,
13620_51_63_64_65_66,Replacement,309,16,,
13620_51_63_64_65_66,Moderate (Mixed),448,11,,
13620_51_63_64_65_66,Low (Surface),65,73,,
13620_51_63_64_65_66,All Fires,48,100,,
13622_41_50,Replacement,228,15,,
13622_41_50,Moderate (Mixed),,,,
13622_41_50,Low (Surface),40,85,,
13622_41_50,All Fires,34,100,,
13630_47_53,Replacement,29,15,10,100
13630_47_53,Moderate (Mixed),16,27,,
13630_47_53,Low (Surface),7,58,2,7
13630_47_53,All Fires,4,100,,
13640_32_ 44_ 49,Replacement,38,13,10,100
13640_32_ 44_ 49,Moderate (Mixed),89,5,,
13640_32_ 44_ 49,Low (Surface),6,82,2,7
13640_32_ 44_ 49,All Fires,5,100,,
13651_40_41_50,Replacement,252,85,100,500
13651_40_41_50,Moderate (Mixed),1479,15,,
13651_40_41_50,Low (Surface),,,,
13651_40_41_50,All Fires,216,100,,
13651_51,Replacement,496,52,100,500
13651_51,Moderate (Mixed),531,48,,
13651_51,Low (Surface),,,,
13651_51,All Fires,256,100,,
13652_41,Replacement,937,55,300,1500
13652_41,Moderate (Mixed),1143,45,300,1500
13652_41,Low (Surface),,,,
13652_41,All Fires,515,100,,
13652_51,Replacement,877,60,300,1500
13652_51,Moderate (Mixed),1311,40,300,1500
13652_51,Low (Surface),,,,
13652_51,All Fires,526,100,,
13653_41,Replacement,114,68,,
13653_41,Moderate (Mixed),247,32,,
13653_41,Low (Surface),,,,
13653_41,All Fires,78,100,,
13660_50,Replacement,484,32,,
13660_50,Moderate (Mixed),1019,15,,
13660_50,Low (Surface),291,53,,
13660_50,All Fires,154,100,,
13660_51_63_64_65_66,Replacement,485,32,,
13660_51_63_64_65_66,Moderate (Mixed),1000,15,,
13660_51_63_64_65_66,Low (Surface),291,53,,
13660_51_63_64_65_66,All Fires,154,100,,
13670_32_44,Replacement,352,1,,
13670_32_44,Moderate (Mixed),93,5,50,2000
13670_32_44,Low (Surface),5,94,2,10
13670_32_44,All Fires,5,100,,
13680_46_48_54_57_59_60_61,Replacement,325,2,100,300
13680_46_48_54_57_59_60_61,Moderate (Mixed),235,2,,
13680_46_48_54_57_59_60_61,Low (Surface),5,96,1,10
13680_46_48_54_57_59_60_61,All Fires,5,100,,
13690_60_61_63_64_65_66,Replacement,178,8,,
13690_60_61_63_64_65_66,Moderate (Mixed),451,3,,
13690_60_61_63_64_65_66,Low (Surface),15,89,,
13690_60_61_63_64_65_66,All Fires,13,100,,
13700_53_61_62,Replacement,1043,51,,
13700_53_61_62,Moderate (Mixed),1089,49,,
13700_53_61_62,Low (Surface),,,,
13700_53_61_62,All Fires,533,100,,
13700_60_63_64_65_66,Replacement,1005,53,,
13700_60_63_64_65_66,Moderate (Mixed),1118,47,,
13700_60_63_64_65_66,Low (Surface),,,,
13700_60_63_64_65_66,All Fires,529,100,,
13710_32_36_37_45_98,Replacement,121,4,,
13710_32_36_37_45_98,Moderate (Mixed),64,7,,
13710_32_36_37_45_98,Low (Surface),5,89,,
13710_32_36_37_45_98,All Fires,4,100,,
13710_44,Replacement,120,4,,
13710_44,Moderate (Mixed),52,9,,
13710_44,Low (Surface),5,87,,
13710_44,All Fires,4,100,,
13720_46_99,Replacement,189,4,100,300
13720_46_99,Moderate (Mixed),88,8,50,150
13720_46_99,Low (Surface),8,88,4,8
13720_46_99,All Fires,7,100,,
13730_63_64,Replacement,1039,100,50,200
13730_63_64,Moderate (Mixed),,,,
13730_63_64,Low (Surface),,,,
13730_63_64,All Fires,1039,100,,
13730_65_66,Replacement,1118,100,50,200
13730_65_66,Moderate (Mixed),,,,
13730_65_66,Low (Surface),,,,
13730_65_66,All Fires,1118,100,,
13740_64_65_66,Replacement,584,100,,
13740_64_65_66,Moderate (Mixed),,,,
13740_64_65_66,Low (Surface),,,,
13740_64_65_66,All Fires,584,100,,
13750_60,Replacement,88,5,,
13750_60,Moderate (Mixed),57,8,,
13750_60,Low (Surface),5,87,,
13750_60,All Fires,5,100,,
13760_48_53_57_61,Replacement,189,4,,
13760_48_53_57_61,Moderate (Mixed),111,6,,
13760_48_53_57_61,Low (Surface),8,90,,
13760_48_53_57_61,All Fires,7,100,,
13770_60_61_63_64_65_66,Replacement,411,46,,
13770_60_61_63_64_65_66,Moderate (Mixed),383,50,,
13770_60_61_63_64_65_66,Low (Surface),4591,4,,
13770_60_61_63_64_65_66,All Fires,190,100,,
13780_37_44,Replacement,157,3,,
13780_37_44,Moderate (Mixed),385,1,,
13780_37_44,Low (Surface),5,96,,
13780_37_44,All Fires,5,100,,
13790_60_65,Replacement,74,10,100,500
13790_60_65,Moderate (Mixed),159,5,100,500
13790_60_65,Low (Surface),9,85,3,50
13790_60_65,All Fires,7,100,,
13800_55_99,Replacement,119,23,25,150
13800_55_99,Moderate (Mixed),1659,2,,
13800_55_99,Low (Surface),36,75,3,5
13800_55_99,All Fires,27,100,,
13810_45,Replacement,340,1,,
13810_45,Moderate (Mixed),451,1,,
13810_45,Low (Surface),5,98,2,5
13810_45,All Fires,5,100,,
13820_55_58,Replacement,69,17,,
13820_55_58,Moderate (Mixed),878,1,,
13820_55_58,Low (Surface),14,82,,
13820_55_58,All Fires,12,100,,
13830_32_35_36,Replacement,15,38,,
13830_32_35_36,Moderate (Mixed),24,23,,
13830_32_35_36,Low (Surface),14,39,,
13830_32_35_36,All Fires,6,100,,
13840_98,Replacement,127,3,25,150
13840_98,Moderate (Mixed),,,,
13840_98,Low (Surface),4,97,3,5
13840_98,All Fires,4,100,,
13850_20,Replacement,47,39,30,100
13850_20,Moderate (Mixed),50,38,,
13850_20,Low (Surface),84,23,10,
13850_20,All Fires,19,100,,
13850_29_30,Replacement,73,26,30,100
13850_29_30,Moderate (Mixed),38,50,,
13850_29_30,Low (Surface),81,24,10,100
13850_29_30,All Fires,19,100,,
13850_31_39_40_42,Replacement,91,36,30,100
13850_31_39_40_42,Moderate (Mixed),65,50,,
13850_31_39_40_42,Low (Surface),231,14,10,225
13850_31_39_40_42,All Fires,33,100,,
13860_66,Replacement,,,,
13860_66,Moderate (Mixed),,,,
13860_66,Low (Surface),,,,
13860_66,All Fires,,,,
13870_55_56,Replacement,33,97,10,100
13870_55_56,Moderate (Mixed),1265,3,60,1000
13870_55_56,Low (Surface),,,,
13870_55_56,All Fires,32,100,,
13890_64_66,Replacement,3360,27,,
13890_64_66,Moderate (Mixed),1805,52,,
13890_64_66,Low (Surface),4310,21,,
13890_64_66,All Fires,923,100,,
13900_35_36,Replacement,15,100,,
13900_35_36,Moderate (Mixed),,,,
13900_35_36,Low (Surface),,,,
13900_35_36,All Fires,15,100,,
13920_35,Replacement,,,,
13920_35,Moderate (Mixed),,,,
13920_35,Low (Surface),,,,
13920_35,All Fires,,,,
13920_36,Replacement,,,,
13920_36,Moderate (Mixed),,,,
13920_36,Low (Surface),,,,
13920_36,All Fires,,,,
13930_26_34,Replacement,48,55,20,100
13930_26_34,Moderate (Mixed),,,,
13930_26_34,Low (Surface),58,45,,
13930_26_34,All Fires,26,100,,
13930_32_35,Replacement,NA,NA,20,100
13930_32_35,Moderate (Mixed),NA,NA,,
13930_32_35,Low (Surface),NA,NA,,
13930_32_35,All Fires,NA,NA,,
13940_39_40_41,Replacement,559,1,,
13940_39_40_41,Moderate (Mixed),168,3,,
13940_39_40_41,Low (Surface),5,96,,
13940_39_40_41,All Fires,5,100,,
13940_42,Replacement,532,1,,
13940_42,Moderate (Mixed),167,3,,
13940_42,Low (Surface),5,96,,
13940_42,All Fires,5,100,,
13940_44_49.doc,Replacement,556,1,,
13940_44_49.doc,Moderate (Mixed),191,3,,
13940_44_49.doc,Low (Surface),5,96,,
13940_44_49.doc,All Fires,5,100,,
13940_50_51,Replacement,66,7,,
13940_50_51,Moderate (Mixed),183,3,,
13940_50_51,Low (Surface),5,90,,
13940_50_51,All Fires,5,100,,
13940_52,Replacement,556,1,,
13940_52,Moderate (Mixed),188,3,,
13940_52,Low (Surface),5,96,,
13940_52,All Fires,5,100,,
13950_41_42_43_49_52,Replacement,339,1,,
13950_41_42_43_49_52,Moderate (Mixed),245,2,,
13950_41_42_43_49_52,Low (Surface),5,97,,
13950_41_42_43_49_52,All Fires,5,100,,
13950_50,Replacement,53,9,,
13950_50,Moderate (Mixed),143,3,,
13950_50,Low (Surface),6,88,,
13950_50,All Fires,5,100,,
13950_51,Replacement,49,10,,
13950_51,Moderate (Mixed),180,3,,
13950_51,Low (Surface),6,87,,
13950_51,All Fires,5,100,,
13970_48,Replacement,39,9,,
13970_48,Moderate (Mixed),13,27,,
13970_48,Low (Surface),5,64,,
13970_48,All Fires,3,100,,
14000_60_61,Replacement,5,79,1,40
14000_60_61,Moderate (Mixed),19,21,,
14000_60_61,Low (Surface),1570,,,
14000_60_61,All Fires,4,100,,
14000_63,Replacement,5,79,1,40
14000_63,Moderate (Mixed),19,21,,
14000_63,Low (Surface),1420,,,
14000_63,All Fires,4,100,,
14000_64,Replacement,5,79,1,40
14000_64,Moderate (Mixed),19,21,,
14000_64,Low (Surface),1586,,,
14000_64,All Fires,4,100,,
14010_43_44_47_48_53,Replacement,19,18,,
14010_43_44_47_48_53,Moderate (Mixed),16,21,,
14010_43_44_47_48_53,Low (Surface),6,61,,
14010_43_44_47_48_53,All Fires,3,100,,
14010_49,Replacement,19,18,,
14010_49,Moderate (Mixed),15,21,,
14010_49,Low (Surface),5,61,,
14010_49,All Fires,3,100,,
14071_41_50_51,Replacement,108,4,,
14071_41_50_51,Moderate (Mixed),74,6,,
14071_41_50_51,Low (Surface),5,90,,
14071_41_50_51,All Fires,4,100,,
14072_41_50_51,Replacement,25,34,10,80
14072_41_50_51,Moderate (Mixed),46,18,10,80
14072_41_50_51,Low (Surface),18,48,1,20
14072_41_50_51,All Fires,8,100,,
14080_48,Replacement,19,18,,
14080_48,Moderate (Mixed),16,21,,
14080_48,Low (Surface),6,61,,
14080_48,All Fires,3,100,,
14090_50_64,Replacement,438,88,,
14090_50_64,Moderate (Mixed),3222,12,,
14090_50_64,Low (Surface),,,,
14090_50_64,All Fires,386,100,,
14100_35,Replacement,17,30,,
14100_35,Moderate (Mixed),26,19,,
14100_35,Low (Surface),10,51,,
14100_35,All Fires,5,100,,
14110_49_51_52,Replacement,24,100,,
14110_49_51_52,Moderate (Mixed),,,,
14110_49_51_52,Low (Surface),,,,
14110_49_51_52,All Fires,24,100,,
14120_39_40_41_42_43_50_51,Replacement,4,96,1,8
14120_39_40_41_42_43_50_51,Moderate (Mixed),,,,
14120_39_40_41_42_43_50_51,Low (Surface),87,4,,
14120_39_40_41_42_43_50_51,All Fires,3,100,,
14120_49,Replacement,4,96,1,8
14120_49,Moderate (Mixed),,,,
14120_49,Low (Surface),85,4,,
14120_49,All Fires,3,100,,
14120_52,Replacement,4,96,1,8
14120_52,Moderate (Mixed),,,,
14120_52,Low (Surface),90,4,,
14120_52,All Fires,3,100,,
14130_47,Replacement,80,34,,
14130_47,Moderate (Mixed),131,21,,
14130_47,Low (Surface),62,45,,
14130_47,All Fires,28,100,,
14140_57,Replacement,278,55,,
14140_57,Moderate (Mixed),339,45,,
14140_57,Low (Surface),,,,
14140_57,All Fires,153,100,,
14151_44,Replacement,2,82,,
14151_44,Moderate (Mixed),340,1,,
14151_44,Low (Surface),12,17,,
14151_44,All Fires,2,100,,
14152_44,Replacement,97,2,,
14152_44,Moderate (Mixed),14,14,,
14152_44,Low (Surface),3,84,,
14152_44,All Fires,2,100,,
14160_48,Replacement,40,21,,
14160_48,Moderate (Mixed),26,33,,
14160_48,Low (Surface),18,46,,
14160_48,All Fires,8,100,,
14170_48,Replacement,18,33,,
14170_48,Moderate (Mixed),34,17,,
14170_48,Low (Surface),12,50,,
14170_48,All Fires,6,100,,
14180_47,Replacement,2,91,,
14180_47,Moderate (Mixed),73,2,,
14180_47,Low (Surface),21,7,,
14180_47,All Fires,1,100,,
14200_39_40_42,Replacement,6,100,,
14200_39_40_42,Moderate (Mixed),,,,
14200_39_40_42,Low (Surface),,,,
14200_39_40_42,All Fires,6,100,,
14200_41,Replacement,4,100,2,5
14200_41,Moderate (Mixed),,,,
14200_41,Low (Surface),,,,
14200_41,All Fires,4,100,,
14210_31_38_42_43_44_50_51,Replacement,4,100,2,5
14210_31_38_42_43_44_50_51,Moderate (Mixed),,,,
14210_31_38_42_43_44_50_51,Low (Surface),,,,
14210_31_38_42_43_44_50_51,All Fires,4,100,,
14210_49_52,Replacement,4,100,2,5
14210_49_52,Moderate (Mixed),,,,
14210_49_52,Low (Surface),,,,
14210_49_52,All Fires,4,100,,
14220_32_35_36_37,Replacement,3,92,,
14220_32_35_36_37,Moderate (Mixed),169,1,,
14220_32_35_36_37,Low (Surface),34,7,,
14220_32_35_36_37,All Fires,2,100,,
14230_32_35,Replacement,2,98,,
14230_32_35,Moderate (Mixed),82,2,,
14230_32_35,Low (Surface),492,,,
14230_32_35,All Fires,2,100,,
14230_38,Replacement,3,96,,
14230_38,Moderate (Mixed),81,3,,
14230_38,Low (Surface),491,1,,
14230_38,All Fires,2,100,,
14230_43_44_,Replacement,2,98,,
14230_43_44_,Moderate (Mixed),80,2,,
14230_43_44_,Low (Surface),502,,,
14230_43_44_,All Fires,2,100,,
14250_56,Replacement,2,85,1,4
14250_56,Moderate (Mixed),38,5,,
14250_56,Low (Surface),19,10,,
14250_56,All Fires,2,100,,
14260_58,Replacement,8,63,5,77
14260_58,Moderate (Mixed),14,37,10,25
14260_58,Low (Surface),,,,
14260_58,All Fires,5,100,,
14270_47,Replacement,18,33,,
14270_47,Moderate (Mixed),34,17,,
14270_47,Low (Surface),12,50,,
14270_47,All Fires,6,100,,
14280_37_44,Replacement,1288,,,
14280_37_44,Moderate (Mixed),7,53,,
14280_37_44,Low (Surface),7,47,,
14280_37_44,All Fires,3,100,,
14290_37_45,Replacement,5,86,,
14290_37_45,Moderate (Mixed),,,,
14290_37_45,Low (Surface),28,14,,
14290_37_45,All Fires,4,100,,
14300_46,Replacement,50,5,,
14300_46,Moderate (Mixed),3,92,,
14300_46,Low (Surface),95,3,,
14300_46,All Fires,3,100,,
14320_45,Replacement,,,,
14320_45,Moderate (Mixed),3,99,,
14320_45,Low (Surface),316,1,,
14320_45,All Fires,3,100,,
14340_36,Replacement,3,100,1,6
14340_36,Moderate (Mixed),,,,
14340_36,Low (Surface),,,,
14340_36,All Fires,3,100,,
14340_37_98,Replacement,5,95,1,6
14340_37_98,Moderate (Mixed),97,5,,
14340_37_98,Low (Surface),,,,
14340_37_98,All Fires,5,100,,
14350_99,Replacement,,,,
14350_99,Moderate (Mixed),,,,
14350_99,Low (Surface),,,,
14350_99,All Fires,,,,
14360_60,Replacement,8,63,5,77
14360_60,Moderate (Mixed),14,37,10,25
14360_60,Low (Surface),,,,
14360_60,All Fires,5,100,,
14360_65_66,Replacement,10,62,5,77
14360_65_66,Moderate (Mixed),17,38,10,25
14360_65_66,Low (Surface),,,,
14360_65_66,All Fires,6,100,,
14370_36,Replacement,3,100,1,3
14370_36,Moderate (Mixed),,,,
14370_36,Low (Surface),,,,
14370_36,All Fires,3,100,,
14380_36,Replacement,6,95,,
14380_36,Moderate (Mixed),102,5,,
14380_36,Low (Surface),,,,
14380_36,All Fires,5,100,,
14390_36,Replacement,,,,
14390_36,Moderate (Mixed),,,,
14390_36,Low (Surface),,,,
14390_36,All Fires,,,,
14400_36,Replacement,3,99,,
14400_36,Moderate (Mixed),264,1,,
14400_36,Low (Surface),,,,
14400_36,All Fires,3,100,,
14420_36,Replacement,4,100,,
14420_36,Moderate (Mixed),,,,
14420_36,Low (Surface),,,,
14420_36,All Fires,4,100,,
14440_41_50_51,Replacement,,,,
14440_41_50_51,Moderate (Mixed),590,35,,
14440_41_50_51,Low (Surface),317,65,,
14440_41_50_51,All Fires,206,100,,
14450_56,Replacement,117,17,,
14450_56,Moderate (Mixed),73,27,,
14450_56,Low (Surface),35,56,,
14450_56,All Fires,20,100,,
14460_56,Replacement,50,6,50,90
14460_56,Moderate (Mixed),1130,,,
14460_56,Low (Surface),3,94,1,6
14460_56,All Fires,3,100,,
14470_56,Replacement,128,7,100,150
14470_56,Moderate (Mixed),,,,
14470_56,Low (Surface),10,93,5,20
14470_56,All Fires,9,100,,
14490_58_60,Replacement,90,3,50,200
14490_58_60,Moderate (Mixed),263,1,,
14490_58_60,Low (Surface),3,96,3,4
14490_58_60,All Fires,3,100,,
14500_55_58,Replacement,100,3,5,150
14500_55_58,Moderate (Mixed),480,1,,
14500_55_58,Low (Surface),3,96,1,8
14500_55_58,All Fires,3,100,,
