BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
10611_16_23_24,Low (Surface),,,,
10611_16_23_24,All Fires,10,100,,
10612_16_23,Replacement,71,46,,
10612_16_23,Moderate (Mixed),61,54,,
10612_16_23,Low (Surface),,,,
10612_16_23,All Fires,33,100,,
10620_10_19_21_29_31,Replacement,289,24,100,500
10620_10_19_21_29_31,Moderate (Mixed),153,46,50,150
10620_10_19_21_29_31,Low (Surface),234,30,,
10620_10_19_21_29_31,All Fires,70,100,,
10620_13,Replacement,287,24,100,500
10620_13,Moderate (Mixed),149,46,50,150
10620_13,Low (Surface),233,30,,
10620_13,All Fires,69,100,,
10620_16_23,Replacement,245,26,100,500
10620_16_23,Moderate (Mixed),137,46,50,150
10620_16_23,Low (Surface),227,28,,
10620_16_23,All Fires,63,100,,
10620_22_28,Replacement,228,25,100,500
10620_22_28,Moderate (Mixed),78,75,,
10620_22_28,Low (Surface),,,,
10620_22_28,All Fires,58,100,,
10620_6_12_17_18,Replacement,281,24,100,500
10620_6_12_17_18,Moderate (Mixed),146,47,50,150
10620_6_12_17_18,Low (Surface),232,29,,
10620_6_12_17_18,All Fires,68,100,,
10620_7_9,Replacement,242,32,100,500
10620_7_9,Moderate (Mixed),212,36,,
10620_7_9,Low (Surface),243,32,,
10620_7_9,All Fires,77,100,,
10630_1,Replacement,453,67,,
10630_1,Moderate (Mixed),905,33,,
10630_1,Low (Surface),,,,
10630_1,All Fires,302,100,,
10630_2_7,Replacement,100,83,,
10630_2_7,Moderate (Mixed),498,17,,
10630_2_7,Low (Surface),,,,
10630_2_7,All Fires,83,100,,
