Model_Code,A,B,C,D,E,Agriculture,Developed,Water,UN,UE
11600_12_17,63,37.0,,,,0,0,0,0,0
11600_15_28,63,37.0,,,,0,0,0,0,0
11600_16,63,37.0,,,,0,0,0,0,0
11600_18,44,46.0,10.0,,,0,0,0,0,0
11600_20_29,54,46.0,,,,0,0,0,0,0
11600_21,5,95.0,,,,0,0,0,0,0
11600_23,63,37.0,,,,0,0,0,0,0
11600_8_9,48,52.0,,,,0,0,0,0,0
11610_21,27,50.0,23.0,,,0,0,0,0,0
11610_9_10_19,10,23.0,67.0,,,0,0,0,0,0
11620_20,5,11.0,28.0,27.0,29.0,0,0,0,0,0
11620_22,4,11.0,18.0,49.0,18.0,0,0,0,0,0
11620_27_33,45,20.0,35.0,,,0,0,0,0,0
11620_29_30,15,27.0,25.0,6.0,27.0,0,0,0,0,0
11620_31_39_40,14,28.0,36.0,11.0,11.0,0,0,0,0,0
11620_32_35,27,73.0,,,,0,0,0,0,0
11620_34,43,28.0,29.0,,,0,0,0,0,0
11620_38,14,28.0,36.0,11.0,11.0,0,0,0,0,0
11630_3_4_5,6,90.0,4.0,,,0,0,0,0,0
11650_1_7_8,25,16.0,59.0,,,0,0,0,0,0
11650_9,10,2.0,6.0,82.0,,0,0,0,0,0
11660_21,7,12.0,14.0,47.0,20.0,0,0,0,0,0
11660_22,14,14.0,19.0,39.0,14.0,0,0,0,0,0
11660_29,8,3.0,25.0,54.0,10.0,0,0,0,0,0
11660_9_10_19,20,17.0,34.0,20.0,9.0,0,0,0,0,0
11662_19,10,2.0,6.0,82.0,,0,0,0,0,0
11670_1_7_9,29,34.0,37.0,,,0,0,0,0,0
11670_10_19,12,24.0,14.0,50.0,,0,0,0,0,0
11670_21,15,19.0,46.0,20.0,,0,0,0,0,0
11700_2_3_7,14,31.0,55.0,,,0,0,0,0,0
11710_1,1,99.0,,,,0,0,0,0,0
11710_7,2,98.0,,,,0,0,0,0,0
11720_7,14,24.0,28.0,23.0,11.0,0,0,0,0,0
11730_1_7,13,87.0,,,,0,0,0,0,0
11740_1_7,13,21.0,3.0,8.0,55.0,0,0,0,0,0
11770_3,21,54.0,25.0,,,0,0,0,0,0
11770_4,24,39.0,37.0,,,0,0,0,0,0
11780_1_2_7,5,48.0,47.0,,,0,0,0,0,0
11790_31,10,79.0,11.0,,,0,0,0,0,0
11791_29_30,6,19.0,13.0,53.0,9.0,0,0,0,0,0
11792_29_30,5,2.0,8.0,80.0,5.0,0,0,0,0,0
13010_40,32,29.0,18.0,21.0,,0,0,0,0,0
13020_40,2,4.0,14.0,78.0,2.0,0,0,0,0,0
13020_63,2,4.0,14.0,76.0,4.0,0,0,0,0,0
13020_64,2,4.0,14.0,76.0,4.0,0,0,0,0,0
13020_65_66,4,5.0,18.0,66.0,7.0,0,0,0,0,0
13022_41_50_51,2,4.0,14.0,76.0,4.0,0,0,0,0,0
13023_51,4,7.0,16.0,69.0,4.0,0,0,0,0,0
13030_60,21,34.0,30.0,10.0,5.0,0,0,0,0,0
13030_61_63_64_65_66,4,22.0,49.0,18.0,7.0,0,0,0,0,0
13030_62,4,15.0,57.0,21.0,3.0,0,0,0,0,0
13040_32_43_44_49,7,21.0,22.0,33.0,17.0,0,0,0,0,0
13050_47_48,39,2.0,36.0,20.0,3.0,0,0,0,0,0
13050_49,4,10.0,49.0,35.0,2.0,0,0,0,0,0
13050_53,59,6.0,27.0,5.0,3.0,0,0,0,0,0
13060_47_48,6,16.0,27.0,33.0,18.0,0,0,0,0,0
13070_46_47_48,6,16.0,27.0,34.0,17.0,0,0,0,0,0
13080_32_35,15,21.0,29.0,25.0,10.0,0,0,0,0,0
13080_38_43_44,15,21.0,29.0,25.0,10.0,0,0,0,0,0
13090_53_57,6,21.0,1.0,4.0,68.0,0,0,0,0,0
13100_38_42_43,3,12.0,20.0,56.0,9.0,0,0,0,0,0
13100_39,3,14.0,35.0,42.0,6.0,0,0,0,0,0
13100_41_62,5,18.0,27.0,45.0,5.0,0,0,0,0,0
13100_44_50,3,12.0,20.0,57.0,8.0,0,0,0,0,0
13100_47,2,7.0,27.0,61.0,3.0,0,0,0,0,0
13100_49,5,12.0,13.0,65.0,5.0,0,0,0,0,0
13100_51,3,7.0,27.0,61.0,2.0,0,0,0,0,0
13100_52,6,12.0,13.0,64.0,5.0,0,0,0,0,0
13110_39,5,32.0,47.0,10.0,6.0,0,0,0,0,0
13110_42_43,3,8.0,51.0,34.0,4.0,0,0,0,0,0
13110_44,4,25.0,36.0,30.0,5.0,0,0,0,0,0
13110_49,3,8.0,38.0,47.0,4.0,0,0,0,0,0
13110_50,4,26.0,36.0,29.0,5.0,0,0,0,0,0
13110_51,3,9.0,50.0,34.0,4.0,0,0,0,0,0
13110_52,3,8.0,38.0,48.0,3.0,0,0,0,0,0
13120_44,10,17.0,27.0,44.0,2.0,0,0,0,0,0
13130_47_50_51,8,9.0,14.0,69.0,,0,0,0,0,0
13130_49_52_62,8,8.0,14.0,70.0,,0,0,0,0,0
13140_38_39_40_41_42_43_44_50,8,9.0,14.0,69.0,,0,0,0,0,0
13140_49,8,8.0,14.0,70.0,,0,0,0,0,0
13150_48_53_57_59_61,5,25.0,36.0,25.0,9.0,0,0,0,0,0
13160_54_57_59_61,6,11.0,22.0,22.0,39.0,0,0,0,0,0
13160_60,6,11.0,22.0,22.0,39.0,0,0,0,0,0
13170_48_53,17,1.0,13.0,6.0,63.0,0,0,0,0,0
13170_57_61,16,11.0,20.0,26.0,27.0,0,0,0,0,0
13170_62,6,9.0,48.0,37.0,,0,0,0,0,0
13180_48_53,5,31.0,10.0,54.0,,0,0,0,0,0
13180_57_59_61,5,26.0,2.0,4.0,63.0,0,0,0,0,0
13200_48_57_61,13,16.0,11.0,18.0,42.0,0,0,0,0,0
13210_47_48_53_57,2,11.0,32.0,55.0,,0,0,0,0,0
13210_49,3,35.0,62.0,,,0,0,0,0,0
13210_61_63,2,8.0,5.0,3.0,82.0,0,0,0,0,0
13210_62,3,34.0,63.0,,,0,0,0,0,0
13220_45,9,19.0,16.0,56.0,,0,0,0,0,0
13230_32_36_37_44_45_98,4,23.0,12.0,24.0,37.0,0,0,0,0,0
13240_60_65_66,9,9.0,12.0,53.0,17.0,0,0,0,0,0
13250_46_47_48,8,30.0,6.0,15.0,41.0,0,0,0,0,0
13260_47,15,14.0,20.0,38.0,13.0,0,0,0,0,0
13260_49,14,16.0,57.0,13.0,,0,0,0,0,0
13270_45_46_47,10,37.0,2.0,2.0,49.0,0,0,0,0,0
13280_46_99,11,18.0,37.0,22.0,12.0,0,0,0,0,0
13290_45_46_99,13,42.0,7.0,4.0,34.0,0,0,0,0,0
13300_46_48_54_55_56_99,11,18.0,37.0,22.0,12.0,0,0,0,0,0
13310_39_40_41,16,57.0,27.0,,,0,0,0,0,0
13330_56,4,7.0,4.0,3.0,82.0,0,0,0,0,0
13340_32_43_44,8,24.0,68.0,,,0,0,0,0,0
13350_55_58_60,11,18.0,36.0,22.0,13.0,0,0,0,0,0
13360_56,5,13.0,38.0,19.0,25.0,0,0,0,0,0
13370_56,5,13.0,40.0,19.0,23.0,0,0,0,0,0
13380_36,26,74.0,,,,0,0,0,0,0
13390_36_37_98,14,2.0,84.0,,,0,0,0,0,0
13400_61,60,25.0,15.0,,,0,0,0,0,0
13420_59,8,13.0,30.0,44.0,5.0,0,0,0,0,0
13430_54_55,8,30.0,6.0,15.0,41.0,0,0,0,0,0
13430_58_60,10,37.0,16.0,9.0,28.0,0,0,0,0,0
13440_41,2,22.0,3.0,51.0,22.0,0,0,0,0,0
13440_66,15,19.0,18.0,18.0,30.0,0,0,0,0,0
13441_51,35,15.0,31.0,19.0,,0,0,0,0,0
13442_51,31,34.0,25.0,10.0,,0,0,0,0,0
13460_54_55_58,13,5.0,40.0,40.0,2.0,0,0,0,0,0
13470_55_58_60,13,5.0,40.0,40.0,2.0,0,0,0,0,0
13480_37_45_98,7,4.0,16.0,67.0,6.0,0,0,0,0,0
13490_46_48_54_55_99,14,9.0,31.0,37.0,9.0,0,0,0,0,0
13500_57,12,24.0,1.0,3.0,60.0,0,0,0,0,0
13500_61,17,14.0,11.0,58.0,,0,0,0,0,0
13510_48_54_59,8,1.0,26.0,63.0,2.0,0,0,0,0,0
13520_53_54_57_59_60_61,13,3.0,24.0,54.0,6.0,0,0,0,0,0
13530_46_48_53_54_57_59_60_61,11,13.0,28.0,35.0,13.0,0,0,0,0,0
13530_47,15,3.0,36.0,43.0,3.0,0,0,0,0,0
13540_64_66,5,24.0,39.0,27.0,5.0,0,0,0,0,0
13550_60_65,6,24.0,39.0,26.0,5.0,0,0,0,0,0
13560_55_56_99,13,1.0,38.0,46.0,2.0,0,0,0,0,0
13570_46_47_55_58_99,8,30.0,6.0,15.0,41.0,0,0,0,0,0
13580_35_36,12,5.0,7.0,54.0,22.0,0,0,0,0,0
13600_56,14,9.0,22.0,47.0,8.0,0,0,0,0,0
13610_58_60,7,22.0,7.0,13.0,51.0,0,0,0,0,0
13620_41_50,14,10.0,7.0,8.0,61.0,0,0,0,0,0
13620_51_63_64_65_66,13,13.0,48.0,26.0,,0,0,0,0,0
13622_41_50,17,18.0,16.0,18.0,31.0,0,0,0,0,0
13630_47_53,17,30.0,36.0,14.0,3.0,0,0,0,0,0
13640_32_44_49,10,17.0,27.0,44.0,2.0,0,0,0,0,0
13651_40_41_50,12,5.0,15.0,68.0,,0,0,0,0,0
13651_51,7,22.0,7.0,64.0,,0,0,0,0,0
13652_41,3,6.0,4.0,87.0,,0,0,0,0,0
13652_51,4,13.0,4.0,79.0,,0,0,0,0,0
13653_41,24,27.0,22.0,20.0,7.0,0,0,0,0,0
13660_50,3,16.0,39.0,42.0,,0,0,0,0,0
13660_51_63_64_65_66,3,16.0,39.0,42.0,,0,0,0,0,0
13670_32_44,7,7.0,23.0,45.0,18.0,0,0,0,0,0
13680_46_48_54_57_59_60_61,8,16.0,24.0,40.0,12.0,0,0,0,0,0
13690_60_61_63_64_65_66,11,15.0,12.0,42.0,20.0,0,0,0,0,0
13700_53_61_62,9,14.0,9.0,68.0,,0,0,0,0,0
13700_60_63_64_65_66,9,14.0,9.0,68.0,,0,0,0,0,0
13710_32_36_37_45_98,10,10.0,22.0,54.0,4.0,0,0,0,0,0
13710_44,10,10.0,23.0,53.0,4.0,0,0,0,0,0
13720_46_99,12,21.0,46.0,14.0,7.0,0,0,0,0,0
13730_63_64,4,4.0,4.0,5.0,83.0,0,0,0,0,0
13730_65_66,6,6.0,7.0,5.0,76.0,0,0,0,0,0
13740_64_65_66,8,7.0,7.0,8.0,70.0,0,0,0,0,0
13750_60,4,8.0,52.0,33.0,3.0,0,0,0,0,0
13760_48_53_57_61,8,5.0,22.0,50.0,15.0,0,0,0,0,0
13770_60_61_63_64_65_66,3,7.0,74.0,16.0,,0,0,0,0,0
13780_37_44,11,3.0,18.0,63.0,5.0,0,0,0,0,0
13790_60_65,8,15.0,24.0,49.0,4.0,0,0,0,0,0
13800_55_99,7,60.0,3.0,1.0,29.0,0,0,0,0,0
13810_45,5,7.0,13.0,65.0,10.0,0,0,0,0,0
13820_55_58,21,12.0,32.0,17.0,18.0,0,0,0,0,0
13830_32_35_36,29,15.0,15.0,35.0,6.0,0,0,0,0,0
13840_98,22,8.0,47.0,19.0,4.0,0,0,0,0,0
13850_20,20,15.0,65.0,,,0,0,0,0,0
13850_29_30,17,15.0,68.0,,,0,0,0,0,0
13850_31_39_40_42,16,29.0,55.0,,,0,0,0,0,0
13860_66,14,86.0,,,,0,0,0,0,0
13870_55_56,15,52.0,15.0,9.0,9.0,0,0,0,0,0
13890_64_66,11,10.0,23.0,56.0,,0,0,0,0,0
13900_35_36,26,32.0,42.0,,,0,0,0,0,0
13920_35,100,,,,,0,0,0,0,0
13920_36,100,,,,,0,0,0,0,0
13930_26_34,20,34.0,46.0,,,0,0,0,0,0
13930_32_35,14,24.0,62.0,,,0,0,0,0,0
13940_39_40_41,22,62.0,14.0,2.0,,0,0,0,0,0
13940_42,22,63.0,13.0,2.0,,0,0,0,0,0
13940_44_49,20,56.0,12.0,12.0,,0,0,0,0,0
13940_50_51,7,16.0,64.0,12.0,1.0,0,0,0,0,0
13940_52,21,56.0,12.0,11.0,,0,0,0,0,0
13950_41_42_43_49_52,32,63.0,3.0,2.0,,0,0,0,0,0
13950_50,8,26.0,61.0,3.0,2.0,0,0,0,0,0
13950_51,9,20.0,66.0,4.0,1.0,0,0,0,0,0
13970_48,34,6.0,18.0,41.0,1.0,0,0,0,0,0
14000_60_61,53,27.0,7.0,13.0,,0,0,0,0,0
14000_63,52,27.0,7.0,14.0,,0,0,0,0,0
14000_64,53,27.0,7.0,13.0,,0,0,0,0,0
14010_43_44_47_48_53,58,7.0,23.0,10.0,2.0,0,0,0,0,0
14010_49,58,7.0,24.0,10.0,1.0,0,0,0,0,0
14071_41_50_51,9,1.0,26.0,62.0,2.0,0,0,0,0,0
14072_41_50_51,14,23.0,49.0,14.0,,0,0,0,0,0
14080_48,58,7.0,23.0,10.0,2.0,0,0,0,0,0
14090_50_64,45,40.0,15.0,,,0,0,0,0,0
14100_35,29,7.0,64.0,,,0,0,0,0,0
14110_49_51_52,46,27.0,27.0,,,0,0,0,0,0
14120_39_40_41_42_43_50_51,80,16.0,4.0,,,0,0,0,0,0
14120_49,80,16.0,4.0,,,0,0,0,0,0
14120_52,81,16.0,3.0,,,0,0,0,0,0
14130_47,13,23.0,28.0,24.0,12.0,0,0,0,0,0
14140_57,6,12.0,8.0,8.0,66.0,0,0,0,0,0
14151_44,82,1.0,17.0,,,0,0,0,0,0
14152_44,19,16.0,36.0,23.0,6.0,0,0,0,0,0
14160_48,26,10.0,11.0,39.0,14.0,0,0,0,0,0
14170_48,42,8.0,11.0,31.0,8.0,0,0,0,0,0
14180_47,72,4.0,20.0,4.0,,0,0,0,0,0
14200_39_40_42,31,59.0,8.0,2.0,,0,0,0,0,0
14200_41,40,58.0,2.0,,,0,0,0,0,0
14210_31_38_42_43_44_50_51,40,58.0,2.0,,,0,0,0,0,0
14210_49_52,40,58.0,2.0,,,0,0,0,0,0
14220_32_35_36_37,91,3.0,6.0,,,0,0,0,0,0
14230_32_35,96,3.0,1.0,,,0,0,0,0,0
14230_38,96,3.0,1.0,,,0,0,0,0,0
14230_43_44,96,3.0,1.0,,,0,0,0,0,0
14250_56,73,25.0,2.0,,,0,0,0,0,0
14260_58,54,9.0,14.0,6.0,17.0,0,0,0,0,0
14270_47,43,8.0,11.0,30.0,8.0,0,0,0,0,0
14280_37_44,50,3.0,46.0,1.0,,0,0,0,0,0
14290_37_45,23,59.0,18.0,,,0,0,0,0,0
14300_46,60,19.0,3.0,14.0,4.0,0,0,0,0,0
14320_45,77,7.0,14.0,2.0,,0,0,0,0,0
14340_36,29,71.0,,,,0,0,0,0,0
14340_37_98,23,60.0,7.0,10.0,,0,0,0,0,0
14350_99,25,74.0,1.0,,,0,0,0,0,0
14360_60,54,9.0,14.0,6.0,17.0,0,0,0,0,0
14360_65_66,43,12.0,45.0,,,0,0,0,0,0
14370_36,38,38.0,24.0,,,0,0,0,0,0
14380_36,87,3.0,10.0,,,0,0,0,0,0
14390_36,100,,,,,0,0,0,0,0
14400_36,33,63.0,4.0,,,0,0,0,0,0
14420_36,4,24.0,72.0,,,0,0,0,0,0
14440_41_50_51,15,35.0,37.0,13.0,,0,0,0,0,0
14450_56,16,9.0,75.0,,,0,0,0,0,0
14460_56,26,1.0,50.0,22.0,1.0,0,0,0,0,0
14470_56,11,1.0,24.0,57.0,7.0,0,0,0,0,0
14490_58_60,18,5.0,46.0,28.0,3.0,0,0,0,0,0
14500_55_58,17,6.0,34.0,34.0,9.0,0,0,0,0,0
14510_37_98,16,10.0,23.0,48.0,3.0,0,0,0,0,0
14520_58_60,17,15.0,31.0,23.0,14.0,0,0,0,0,0
14530_55_56,17,1.0,36.0,45.0,1.0,0,0,0,0,0
14540_55_56_99,17,6.0,34.0,34.0,9.0,0,0,0,0,0
14550_46_99,18,24.0,7.0,12.0,39.0,0,0,0,0,0
14570_47_48,13,21.0,17.0,28.0,21.0,0,0,0,0,0
14570_49,17,52.0,31.0,,,0,0,0,0,0
14580_37_44_45_98,13,10.0,18.0,53.0,6.0,0,0,0,0,0
14590_58,27,71.0,2.0,,,0,0,0,0,0
14600_55_56_99,11,1.0,24.0,57.0,7.0,0,0,0,0,0
14610_46_55_56_99,13,23.0,3.0,6.0,55.0,0,0,0,0,0
14660_49,26,37.0,37.0,,,0,0,0,0,0
14660_50_51,23,23.0,27.0,27.0,,0,0,0,0,0
14670_36,13,13.0,74.0,,,0,0,0,0,0
14680_46_55_58_99,14,25.0,17.0,32.0,12.0,0,0,0,0,0
14680_60,8,16.0,13.0,52.0,11.0,0,0,0,0,0
14690_31_39_40_43,14,30.0,41.0,15.0,,0,0,0,0,0
14690_38_42_49,14,29.0,42.0,15.0,,0,0,0,0,0
14700_56,16,37.0,33.0,2.0,12.0,0,0,0,0,0
14710_32_35,30,70.0,,,,0,0,0,0,0
14710_41_50,15,23.0,45.0,17.0,,0,0,0,0,0
14710_42_43,5,23.0,40.0,32.0,,0,0,0,0,0
14710_44,5,23.0,40.0,32.0,,0,0,0,0,0
14710_47_48_53_54_57_59_60_61_63,9,25.0,6.0,12.0,48.0,0,0,0,0,0
14710_49_52,15,23.0,45.0,17.0,,0,0,0,0,0
14710_51_62,15,23.0,44.0,18.0,,0,0,0,0,0
14710_64_65,9,25.0,6.0,13.0,47.0,0,0,0,0,0
14712_44,18,27.0,55.0,,,0,0,0,0,0
14720_32_35,7,20.0,73.0,,,0,0,0,0,0
14720_44_46_47_48,17,23.0,13.0,38.0,9.0,0,0,0,0,0
14720_49,16,22.0,13.0,39.0,10.0,0,0,0,0,0
14720_53_54_57_59_60,17,23.0,13.0,38.0,9.0,0,0,0,0,0
14720_61_62_63,16,22.0,13.0,39.0,10.0,0,0,0,0,0
14720_64_65_66,16,22.0,13.0,40.0,9.0,0,0,0,0,0
14730_32_37_44,10,16.0,43.0,31.0,,0,0,0,0,0
14730_36,10,16.0,43.0,31.0,,0,0,0,0,0
14730_45_46_47_98_99,22,31.0,27.0,20.0,,0,0,0,0,0
14730_55_58_60,22,31.0,26.0,21.0,,0,0,0,0,0
14740_32_37_44_45_98,14,19.0,67.0,,,0,0,0,0,0
14740_36,40,60.0,,,,0,0,0,0,0
14740_46_47_48_55_56_58_60_99,16,23.0,4.0,24.0,33.0,0,0,0,0,0
14750_41_50_51_63_64_65_66,16,23.0,44.0,17.0,,0,0,0,0,0
14760_36,2,8.0,90.0,,,0,0,0,0,0
14770_40_41_50_51,14,16.0,38.0,23.0,9.0,0,0,0,0,0
14770_63_64_65_66,13,16.0,39.0,25.0,7.0,0,0,0,0,0
14780_56,15,35.0,35.0,15.0,,0,0,0,0,0
14790_41_42_47_48_50_51_53,24,36.0,40.0,,,0,0,0,0,0
14790_52_62,15,21.0,64.0,,,0,0,0,0,0
14790_60_61_63_64_65_66,24,36.0,40.0,,,0,0,0,0,0
14800_36_37_44,8,29.0,19.0,44.0,,0,0,0,0,0
14800_45_98,8,29.0,19.0,44.0,,0,0,0,0,0
14800_46_56_58_60_64_65_66,9,17.0,74.0,,,0,0,0,0,0
14800_47,9,17.0,74.0,,,0,0,0,0,0
14800_55_99,10,16.0,74.0,,,0,0,0,0,0
14810_41_50_51_63,14,11.0,21.0,54.0,,0,0,0,0,0
14820_30,33,67.0,,,,0,0,0,0,0
14820_39_40,40,60.0,,,,0,0,0,0,0
14830_56,93,4.0,2.0,1.0,,0,0,0,0,0
14850_55_99,11,3.0,30.0,50.0,6.0,0,0,0,0,0
14860_36,46,51.0,3.0,,,0,0,0,0,0
14880_38_42_43,100,,,,,0,0,0,0,0
14890_55_56_99,19,70.0,8.0,2.0,1.0,0,0,0,0,0
14900_36,8,92.0,,,,0,0,0,0,0
14900_37_98,72,28.0,,,,0,0,0,0,0
14900_55_56_58_99,57,26.0,6.0,11.0,,0,0,0,0,0
14900_60,57,26.0,6.0,11.0,,0,0,0,0,0
14900_65_66,11,16.0,73.0,,,0,0,0,0,0
14920_41_50_51_52_63,22,22.0,56.0,,,0,0,0,0,0
14930_41_42_44_50,8,60.0,28.0,4.0,,0,0,0,0,0
14930_52_62,8,59.0,30.0,3.0,,0,0,0,0,0
14940_41_50_51,8,56.0,31.0,5.0,,0,0,0,0,0
14940_63_65_66,47,29.0,11.0,13.0,,0,0,0,0,0
14940_64,47,29.0,11.0,13.0,,0,0,0,0,0
14950_20,33,67.0,,,,0,0,0,0,0
14950_27_33,20,80.0,,,,0,0,0,0,0
14950_30,33,67.0,,,,0,0,0,0,0
14950_31_39_40,47,53.0,,,,0,0,0,0,0
14950_35,100,,,,,0,0,0,0,0
14950_36,100,,,,,0,0,0,0,0
14950_38,47,53.0,,,,0,0,0,0,0
14951_26_34,100,,,,,0,0,0,0,0
14952_34,96,4.0,,,,0,0,0,0,0
15010_58_60,8,33.0,16.0,26.0,17.0,0,0,0,0,0
15030_25_27,56,42.0,2.0,,,0,0,0,0,0
15030_26,56,42.0,2.0,,,0,0,0,0,0
15040_25_27,95,5.0,,,,0,0,0,0,0
15040_32_35,100,,,,,0,0,0,0,0
15041_26_34,100,,,,,0,0,0,0,0
15042_26_34,66,7.0,27.0,,,0,0,0,0,0
15060_37_44,3,15.0,51.0,31.0,,0,0,0,0,0
15070_44,15,3.0,37.0,43.0,2.0,0,0,0,0,0
15090_45_47,10,19.0,16.0,55.0,,0,0,0,0,0
15100_45,13,10.0,31.0,40.0,6.0,0,0,0,0,0
15130_45,3,12.0,53.0,32.0,,0,0,0,0,0
15170_42_49_50,32,9.0,39.0,9.0,11.0,0,0,0,0,0
15180_43_47_49_52_62_63_64_65,11,16.0,73.0,,,0,0,0,0,0
15190_32_35_36_37,14,6.0,4.0,58.0,18.0,0,0,0,0,0
15230_32_35,2,6.0,10.0,13.0,69.0,0,0,0,0,0
15240_35,7,15.0,78.0,,,0,0,0,0,0
15250_35,35,65.0,,,,0,0,0,0,0
15260_64_65_66,14,11.0,21.0,54.0,,0,0,0,0,0
18040_79,16,84.0,,,,0,0,0,0,0
18060_79,100,,,,,0,0,0,0,0
18080_79,5,10.0,16.0,60.0,9.0,0,0,0,0,0
18090_79,5,5.0,9.0,74.0,7.0,0,0,0,0,0
18100_79,8,7.0,13.0,66.0,6.0,0,0,0,0,0
18110_79,8,16.0,76.0,,,0,0,0,0,0
18130_79,3,21.0,16.0,35.0,25.0,0,0,0,0,0
18140_79,2,15.0,12.0,13.0,58.0,0,0,0,0,0
18151_79,9,11.0,50.0,30.0,,0,0,0,0,0
18160_79,2,14.0,12.0,12.0,60.0,0,0,0,0,0
18170_79,3,11.0,35.0,51.0,,0,0,0,0,0
18180_79,2,16.0,82.0,,,0,0,0,0,0
18190_79,5,95.0,,,,0,0,0,0,0
18200_79,17,83.0,,,,0,0,0,0,0
18210_79,8,2.0,6.0,14.0,70.0,0,0,0,0,0
18220_79,3,97.0,,,,0,0,0,0,0
18230_79,3,97.0,,,,0,0,0,0,0
18240_79,9,91.0,,,,0,0,0,0,0
18250_79,5,95.0,,,,0,0,0,0,0
18260_79,8,34.0,58.0,,,0,0,0,0,0
18270_79,5,15.0,80.0,,,0,0,0,0,0
18280_79,2,8.0,90.0,,,0,0,0,0,0
