bps_model_id,severity,return_interval(years),percent_of_all_fires
10453_10_19,Replacement,218.0,32.0
10453_10_19,Moderate (Mixed),104.0,68.0
10453_10_19,Low (Surface),,
10453_10_19,All Fires,70.0,100.0
10454_20,Replacement,144.0,52.0
10454_20,Moderate (Mixed),274.0,28.0
10454_20,Low (Surface),384.0,20.0
10454_20,All Fires,76.0,100.0
10460_1_7_9,Replacement,349.0,19.0
10460_1_7_9,Moderate (Mixed),79.0,81.0
10460_1_7_9,Low (Surface),,
10460_1_7_9,All Fires,65.0,100.0
10460_10_19_20,Replacement,396.0,46.0
10460_10_19_20,Moderate (Mixed),336.0,54.0
10460_10_19_20,Low (Surface),,
10460_10_19_20,All Fires,182.0,100.0
10460_18,Replacement,227.0,18.0
10460_18,Moderate (Mixed),385.0,11.0
10460_18,Low (Surface),57.0,71.0
10460_18,All Fires,41.0,100.0
10460_21,Replacement,517.0,39.0
10460_21,Moderate (Mixed),325.0,61.0
10460_21,Low (Surface),,
10460_21,All Fires,200.0,100.0
10470_10_19,Replacement,185.0,43.0
10470_10_19,Moderate (Mixed),139.0,57.0
10470_10_19,Low (Surface),,
10470_10_19,All Fires,79.0,100.0
10470_8_9,Replacement,204.0,35.0
10470_8_9,Moderate (Mixed),155.0,45.0
10470_8_9,Low (Surface),355.0,20.0
10470_8_9,All Fires,71.0,100.0
10472_10_19,Replacement,382.0,84.0
10472_10_19,Moderate (Mixed),2027.0,16.0
10472_10_19,Low (Surface),,
10472_10_19,All Fires,321.0,100.0
10480_29,Replacement,271.0,11.0
10480_29,Moderate (Mixed),120.0,24.0
10480_29,Low (Surface),45.0,65.0
10480_29,All Fires,29.0,100.0
10490_16_22,Replacement,213.0,100.0
10490_16_22,Moderate (Mixed),,
10490_16_22,Low (Surface),,
10490_16_22,All Fires,213.0,100.0
10490_19_20_21_23_28_29,Replacement,383.0,100.0
10490_19_20_21_23_28_29,Moderate (Mixed),,
10490_19_20_21_23_28_29,Low (Surface),,
10490_19_20_21_23_28_29,All Fires,383.0,100.0
10500_16_23_28,Replacement,152.0,81.0
10500_16_23_28,Moderate (Mixed),,
10500_16_23_28,Low (Surface),636.0,19.0
10500_16_23_28,All Fires,122.0,100.0
10500_18,Replacement,149.0,81.0
10500_18,Moderate (Mixed),,
10500_18,Low (Surface),636.0,19.0
10500_18,All Fires,121.0,100.0
10500_22,Replacement,170.0,100.0
10500_22,Moderate (Mixed),,
10500_22,Low (Surface),,
10500_22,All Fires,170.0,100.0
10510_15_16_17_22_23_24_25,Replacement,89.0,12.0
10510_15_16_17_22_23_24_25,Moderate (Mixed),76.0,14.0
10510_15_16_17_22_23_24_25,Low (Surface),14.0,74.0
10510_15_16_17_22_23_24_25,All Fires,11.0,100.0
10510_18_21,Replacement,90.0,12.0
10510_18_21,Moderate (Mixed),77.0,14.0
10510_18_21,Low (Surface),14.0,74.0
10510_18_21,All Fires,11.0,100.0
10510_27,Replacement,277.0,7.0
10510_27,Moderate (Mixed),56.0,34.0
10510_27,Low (Surface),33.0,59.0
10510_27,All Fires,19.0,100.0
10510_28,Replacement,322.0,6.0
10510_28,Moderate (Mixed),53.0,35.0
10510_28,Low (Surface),31.0,59.0
10510_28,All Fires,19.0,100.0
10510_29,Replacement,94.0,11.0
10510_29,Moderate (Mixed),77.0,14.0
10510_29,Low (Surface),14.0,75.0
10510_29,All Fires,11.0,100.0
10510_6,Replacement,91.0,12.0
10510_6,Moderate (Mixed),76.0,14.0
10510_6,Low (Surface),14.0,74.0
10510_6,All Fires,11.0,100.0
10520_12,Replacement,182.0,18.0
10520_12,Moderate (Mixed),89.0,36.0
10520_12,Low (Surface),70.0,46.0
10520_12,All Fires,32.0,100.0
10520_13,Replacement,217.0,18.0
10520_13,Moderate (Mixed),194.0,21.0
10520_13,Low (Surface),65.0,61.0
10520_13,All Fires,40.0,100.0
10520_15,Replacement,188.0,18.0
10520_15,Moderate (Mixed),91.0,37.0
10520_15,Low (Surface),73.0,45.0
10520_15,All Fires,33.0,100.0
10520_16_23_24,Replacement,178.0,18.0
10520_16_23_24,Moderate (Mixed),88.0,37.0
10520_16_23_24,Low (Surface),74.0,45.0
10520_16_23_24,All Fires,33.0,100.0
10520_17,Replacement,183.0,18.0
10520_17,Moderate (Mixed),90.0,36.0
10520_17,Low (Surface),72.0,46.0
10520_17,All Fires,33.0,100.0
10520_18,Replacement,184.0,18.0
10520_18,Moderate (Mixed),89.0,37.0
10520_18,Low (Surface),72.0,45.0
10520_18,All Fires,33.0,100.0
10520_21,Replacement,186.0,18.0
10520_21,Moderate (Mixed),90.0,37.0
10520_21,Low (Surface),72.0,45.0
10520_21,All Fires,33.0,100.0
10520_25,Replacement,185.0,18.0
10520_25,Moderate (Mixed),92.0,37.0
10520_25,Low (Surface),75.0,45.0
10520_25,All Fires,34.0,100.0
10520_27,Replacement,251.0,15.0
10520_27,Moderate (Mixed),97.0,37.0
10520_27,Low (Surface),76.0,48.0
10520_27,All Fires,36.0,100.0
10520_28,Replacement,200.0,27.0
10520_28,Moderate (Mixed),143.0,37.0
10520_28,Low (Surface),151.0,36.0
10520_28,All Fires,54.0,100.0
10530_10_19,Replacement,347.0,4.0
10530_10_19,Moderate (Mixed),55.0,23.0
10530_10_19,Low (Surface),17.0,73.0
10530_10_19,All Fires,12.0,100.0
10531_1_7_8_9,Replacement,277.0,5.0
10531_1_7_8_9,Moderate (Mixed),79.0,18.0
10531_1_7_8_9,Low (Surface),19.0,77.0
