bps_model_id,symbol,scientific_name,common_name
10280_4_6_7_12,PILA,Pinus lambertiana,Sugar pine
10280_4_6_7_12,PIPO,Pinus ponderosa,Ponderosa pine
10280_4_6_7_12,CADE27,Calocedrus decurrens,Incense cedar
10280_4_6_7_12,PIJE,Pinus jeffreyi,Jeffrey pine
10280_4_6_7_12,SEGI2,Sequoiadendron giganteum,Giant sequoia
10290_2_3_4_5_6_7_12,QUGA4,Quercus garryana,Oregon white oak
10290_2_3_4_5_6_7_12,QUKE,Quercus kelloggii,California black oak
10290_2_3_4_5_6_7_12,PIPO,Pinus ponderosa,Ponderosa pine
10290_2_3_4_5_6_7_12,PSME,Pseudotsuga menziesii,Douglas-fir
10290_2_3_4_5_6_7_12,TODI,Toxicodendron diversilobum,Pacific poison oak
10290_2_3_4_5_6_7_12,FECA,Festuca Californica,California fescue
10290_2_3_4_5_6_7_12,FEIDR2,Festuca roemeri,Roemer’s fescue
10300_2_3_4_5_6_7,QUKE,Quercus kelloggii,California black oak
10300_2_3_4_5_6_7,QUGA4,Quercus garryana,Oregon white oak
10300_2_3_4_5_6_7,QUCH2,Quercus chrysolepis,Canyon live oak
10300_2_3_4_5_6_7,PIPO,Pinus ponderosa,Ponderosa pine
10300_2_3_4_5_6_7,PSME,Pseudotsuga menziesii,Douglas-fir
10300_2_3_4_5_6_7,QUWI2,Quercus wislizeni,Interior live oak
10300_2_3_4_5_6_7,FEID,Festuca idahoensis,Idaho fescue
10300_2_3_4_5_6_7,TODI,Toxicodendron diversilobum,Pacific poison oak
10310_2_3_4_5_6_12,PIJE,Pinus jeffreyi,Jeffrey pine
10310_2_3_4_5_6_12,PIPO,Pinus ponderosa,Ponderosa pine
10310_2_3_4_5_6_12,PUTR2,Purshia tridentata,Antelope bitterbrush
10310_2_3_4_5_6_12,QUVA,Quercus vacciniifolia,Huckleberry oak
10310_2_3_4_5_6_12,ARPA6,Arctostaphylos patula,Greenleaf manzanita
10310_7,PIJE,Pinus jeffreyi,Jeffrey pine
10310_7,PIPO,Pinus ponderosa,Ponderosa pine
10310_7,PUTR2,Purshia tridentata,Antelope bitterbrush
10310_7,ARTRV,Artemisia tridentata ssp. vaseyana,Mountain big sagebrush
10310_7,FEID,Festuca idahoensis,Idaho fescue
10310_7,ACHNA,Achnatherum,Needlegrass
10310_7,ELEL5,Elymus elymoides,Squirreltail
10310_7,CARO5,Carex Rossii,Ross’ sedge
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10320_2_3_7,,,
10321_6,ABMA,Abies magnifica,California red fir
10321_6,ABCO,Abies concolor,White fir
