"bps_model_id","severity","avg_fi","percent_of_all_fires","min_fi","max_fi"
"16620_73_75_77_78","All Fires","","","",""
"16630_73_74_75_76_77_78","Replacement","","","",""
"16630_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16630_73_74_75_76_77_78","Low (Surface)","","","",""
"16630_73_74_75_76_77_78","All Fires","","","",""
"16650_73_75_76_77_78_80","Replacement","","","",""
"16650_73_75_76_77_78_80","Moderate (Mixed)","","","",""
"16650_73_75_76_77_78_80","Low (Surface)","","","",""
"16650_73_75_76_77_78_80","All Fires","","","",""
"16680_73_75_76_77_78_80","Replacement","","","",""
"16680_73_75_76_77_78_80","Moderate (Mixed)","","","",""
"16680_73_75_76_77_78_80","Low (Surface)","","","",""
"16680_73_75_76_77_78_80","All Fires","","","",""
"16760_75_77_78","Replacement","","","",""
"16760_75_77_78","Moderate (Mixed)","","","",""
"16760_75_77_78","Low (Surface)","","","",""
"16760_75_77_78","All Fires","","","",""
"16780_75_77","Replacement","1008","80","",""
"16780_75_77","Moderate (Mixed)","3912","20","",""
"16780_75_77","Low (Surface)","","","",""
"16780_75_77","All Fires","802","100","",""
"16790_73_74_75_76_77_78_80","Replacement","712","86","",""
"16790_73_74_75_76_77_78_80","Moderate (Mixed)","4529","14","",""
"16790_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16790_73_74_75_76_77_78_80","All Fires","615","100","",""
"16800_74_75_77_78","Replacement","","","",""
"16800_74_75_77_78","Moderate (Mixed)","","","",""
"16800_74_75_77_78","Low (Surface)","","","",""
"16800_74_75_77_78","All Fires","","","",""
"16810_73_75_76_77_78","Replacement","","","",""
"16810_73_75_76_77_78","Moderate (Mixed)","","","",""
"16810_73_75_76_77_78","Low (Surface)","","","",""
"16810_73_75_76_77_78","All Fires","","","",""
"16821_68","Replacement","559","100","",""
"16821_68","Moderate (Mixed)","","","",""
"16821_68","Low (Surface)","","","",""
"16821_68","All Fires","559","100","",""
"16822_67_68_69_70_71_72_73_74_76","Replacement","252","100","",""
"16822_67_68_69_70_71_72_73_74_76","Moderate (Mixed)","","","",""
"16822_67_68_69_70_71_72_73_74_76","Low (Surface)","","","",""
"16822_67_68_69_70_71_72_73_74_76","All Fires","252","100","",""
"16831_68","Replacement","253","100","",""
"16831_68","Moderate (Mixed)","","","",""
"16831_68","Low (Surface)","","","",""
"16831_68","All Fires","253","100","",""
"16832_67_68_69","Replacement","3322","100","",""
"16832_67_68_69","Moderate (Mixed)","","","",""
"16832_67_68_69","Low (Surface)","","","",""
"16832_67_68_69","All Fires","3322","100","",""
"16850_67_68_69_70_71_72_73_76","Replacement","","","",""
"16850_67_68_69_70_71_72_73_76","Moderate (Mixed)","","","",""
"16850_67_68_69_70_71_72_73_76","Low (Surface)","","","",""
"16850_67_68_69_70_71_72_73_76","All Fires","","","",""
"16870_67_68_69_70_71_72_73_74_75_76_77","Replacement","","","",""
"16870_67_68_69_70_71_72_73_74_75_76_77","Moderate (Mixed)","","","",""
"16870_67_68_69_70_71_72_73_74_75_76_77","Low (Surface)","","","",""
"16870_67_68_69_70_71_72_73_74_75_76_77","All Fires","","","",""
"16880_67_68_69_70_71_72_73_74_76","Replacement","","","",""
"16880_67_68_69_70_71_72_73_74_76","Moderate (Mixed)","","","",""
"16880_67_68_69_70_71_72_73_74_76","Low (Surface)","","","",""
"16880_67_68_69_70_71_72_73_74_76","All Fires","","","",""
"16901_68","Replacement","247","100","",""
"16901_68","Moderate (Mixed)","","","",""
"16901_68","Low (Surface)","","","",""
"16901_68","All Fires","247","100","",""
"16902_67_68_69_70_71_72_73_74_75_76_77","Replacement","1019","100","",""
"16902_67_68_69_70_71_72_73_74_75_76_77","Moderate (Mixed)","","","",""
