"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16240_68_69_70_71_72_73_74_75_76_77_78","ALINT","Alnus incana ssp. tenuifolia","Thinleaf alder"
"16240_68_69_70_71_72_73_74_75_76_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16240_68_69_70_71_72_73_74_75_76_77_78","SAPU15","Salix pulchra","Tealeaf willow"
"16240_68_69_70_71_72_73_74_75_76_77_78","SARI4","Salix richardsonii","Richardson's willow"
"16240_68_69_70_71_72_73_74_75_76_77_78","CACA4","Calamagrostis canadensis","Bluejoint"
"16240_68_69_70_71_72_73_74_75_76_77_78","EQUIS","Equisetum spp.","Horsetail"
"16281_68_69_70_71_72_73_74_76","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"16281_68_69_70_71_72_73_74_76","CABI5","Carex bigelowii","Bigelow's sedge"
"16281_68_69_70_71_72_73_74_76","BENA","Betula nana","Dwarf birch"
"16281_68_69_70_71_72_73_74_76","SAPU15","Salix pulchra","Tealeaf willow"
"16281_68_69_70_71_72_73_74_76","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"16281_68_69_70_71_72_73_74_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16281_68_69_70_71_72_73_74_76","VACCI","Vaccinium","Blueberry"
"16281_68_69_70_71_72_73_74_76","CACA4","Calamagrostis canadensis","Bluejoint"
"16281_68_69_70_71_72_73_74_76","ARCTA","Arctagrostis spp.","Polargrass"
"16282_67_68_69_70_71_72_73_74_75_76_77","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"16282_67_68_69_70_71_72_73_74_75_76_77","CABI5","Carex bigelowii","Bigelow's sedge"
"16282_67_68_69_70_71_72_73_74_75_76_77","BENA","Betula nana","Dwarf birch"
"16282_67_68_69_70_71_72_73_74_75_76_77","SAPU15","Salix pulchra","Tealeaf willow"
"16282_67_68_69_70_71_72_73_74_75_76_77","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"16282_67_68_69_70_71_72_73_74_75_76_77","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16282_67_68_69_70_71_72_73_74_75_76_77","VACCI","Vaccinium","Blueberry"
"16282_67_68_69_70_71_72_73_74_75_76_77","CACA4","Calamagrostis canadensis","Bluejoint"
"16282_67_68_69_70_71_72_73_74_75_76_77","ARCTA","Arctagrostis spp.","Polargrass"
"16291_68","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"16291_68","CABI5","Carex bigelowii","Bigelow's sedge"
"16291_68","VAOX","Vaccinium oxycoccos","Small cranberry"
"16291_68","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"16291_68","BENA","Betula nana","Dwarf birch"
"16291_68","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16291_68","SPHAG2","Sphagnum spp.","Sphagnum"
"16291_68","PLSC70","Pleurozium schreberi","Schreber's big red stem moss"
